Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Performance Period Rate,Number of  Patients Included in Hypercalcemia Measure Score Performance Period,Number of Hypercalcemia Patient Months Performance Period,Hypercalcemia Baseline Period Rate,Number of Hypercalcemia Patient Months Baseline Period,Hypercalcemia Performance Score Applied,NHSN Measure Score,NHSN Performance Period  Rate,Total number of eligible NHSN Patients,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2016 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of ownership record update
SAN JOAQUIN GENERAL HOSPITAL,053526,050167,,7783 SOUTH FREEDOM ROAD,,FRENCH CAMP,CA,95231,17,10,0%,95,0%,107,Achievement,5,92%,121,1166,91%,1245,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,5,8,71%,118,1258,69%,1317,Achievement,6,9%,124,1212,10%,1252,Achievement,7,8,1%,159,1366,0%,1683,Achievement,8,0.215,206,10,10,10,82,No Reduction,08/03/2007,NOT A CHAIN,01/10/2007
ST. JOSEPH HOSPITAL DIALYSIS CENTER-SANTA ANA,053527,052402,,"2212 E. 4TH STREET, SUITE 101",,SANTA ANA,CA,92705,18,0,2%,49,2%,46,Achievement,8,96%,63,522,97%,477,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,9,75%,56,546,74%,527,Achievement,8,6%,57,455,9%,476,Achievement,8,8,1%,139,1056,3%,117,Achievement,7,0.526,162,10,10,10,71,No Reduction,10/14/2009,NOT A CHAIN,08/20/2009
060024 UNIVERSITY OF CO HOSPITAL - DIALYSIS,060024,062303,,12605 E. 16TH AVE,,AURORA,CO,80045,15,5,4%,22,8%,38,Improvement,N/A,Insufficient data,10,14,77%,142,N/A,6,84%,35,267,84%,263,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,10,100%,11,118,91%,248,Achievement,10,0%,14,103,2%,243,Achievement,10,5,3%,48,351,1%,544,Achievement,N/A,N/A,32,N/A,2,7,61,No Reduction,09/01/1977,NOT A CHAIN,07/02/2014
062501 ROCKY MOUNTAIN DIALYSIS (FMC),062501,,,4600 HALE PKWY STE 120,,DENVER,CO,80220,15,10,0%,38,0%,47,Achievement,8,96%,86,722,92%,829,Achievement,9,93%,13,112,Insufficient data,56,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,8,73%,67,720,72%,847,Achievement,3,16%,72,707,16%,815,Achievement,5,8,1%,97,805,1%,1002,Achievement,6,0.777,119,10,9,7,77,No Reduction,06/16/1983,RENAL CARE GROUP INC.,07/06/2000
062502 LAKEWOOD DIALYSIS (DVA),062502,,,1750 PIERCE ST,,LAKEWOOD,CO,80214,15,10,0%,36,0%,39,Achievement,9,97%,62,492,87%,506,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,10,85%,53,574,80%,586,Achievement,9,4%,58,537,7%,545,Achievement,9,10,0%,110,952,0%,1107,Achievement,0,3.101,155,10,10,10,81,No Reduction,07/11/1980,DAVITA,07/15/2000
062505 NORTHERN COLORADO KIDNEY CENTER (FMC),062505,,,1213 RIVERSIDE AVE,,FORT COLLINS,CO,80524,15,10,0%,40,2%,47,Achievement,4,90%,68,518,90%,538,Achievement,N/A,Insufficient data,2,7,82%,74,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,6,66%,52,535,69%,553,Achievement,5,11%,56,497,5%,518,Achievement,5,8,1%,76,554,2%,837,Achievement,4,1.105,114,10,7,10,68,No Reduction,05/16/1983,FRESENIUS MEDICAL CARE,01/18/2000
062507 PIKES PEAK DIALYSIS CENTER (DVA),062507,,,2002 LELARAY ST STE 130,,COLORADO SPRINGS,CO,80909,15,0,2%,63,1%,74,Achievement,6,93%,100,755,93%,818,Achievement,10,95%,13,110,95%,78,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,6,67%,78,811,64%,904,Achievement,4,13%,84,779,10%,810,Achievement,5,10,0%,117,965,1%,1181,Achievement,5,0.996,170,10,10,10,61,No Reduction,12/10/1979,DAVITA,04/05/2002
062510 GREELEY DIALYSIS (FMC),062510,,,2343 W 27TH ST STE 503,,GREELEY,CO,80634,15,10,0%,66,0%,75,Achievement,4,91%,116,943,95%,1001,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,8,71%,93,964,73%,1057,Achievement,6,9%,100,939,10%,1004,Achievement,7,8,1%,134,1018,2%,1253,Achievement,9,0.107,177,10,0,10,73,No Reduction,04/08/1987,FRESENIUS MEDICAL CARE,08/08/2014
062511 THORNTON DIALYSIS (DVA),062511,,,8800 FOX DR,,THORNTON,CO,80260,15,0,3%,36,3%,36,Achievement,8,95%,77,492,95%,449,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,82%,56,551,83%,522,Achievement,9,4%,57,490,6%,443,Achievement,9,10,0%,86,664,0%,805,Achievement,2,1.486,161,10,7,10,64,No Reduction,09/04/1997,DAVITA,06/28/2000
062514 AURORA DIALYSIS (DVA),062514,,,1411 S POTOMAC ST STE 100,,AURORA,CO,80012,15,10,0%,59,0%,52,Achievement,8,96%,109,754,95%,735,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,9,74%,75,765,71%,775,Achievement,8,6%,86,718,7%,681,Achievement,8,10,0%,142,1166,1%,1432,Achievement,0,2.432,239,10,10,10,77,No Reduction,09/01/1988,DAVITA,06/28/2000
062516 WESTMINSTER DIALYSIS (DVA),062516,,,9053 HARLAN ST STE 90,,WESTMINSTER,CO,80030,15,10,0%,11,0%,13,Achievement,4,91%,31,194,88%,232,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,10,88%,19,191,80%,214,Achievement,10,2%,21,186,2%,202,Achievement,10,6,2%,37,280,0%,426,Achievement,0,2.704,66,10,10,10,70,No Reduction,11/19/1990,DAVITA,07/21/2000
062517 BOULDER DIALYSIS (DVA),062517,,,2880 FOLSOM ST STE 110,,BOULDER,CO,80304,15,10,0%,16,0%,18,Achievement,4,90%,36,202,95%,201,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,10,91%,18,185,83%,200,Achievement,7,7%,18,179,10%,184,Achievement,9,10,0%,27,222,0%,251,Achievement,0,3.356,55,N/A,9,10,71,No Reduction,10/01/1990,DAVITA,06/28/2000
062518 SOUTH DENVER DIALYSIS (DVA),062518,,,850 E HARVARD AVE STE 60,,DENVER,CO,80210,15,10,0%,25,0%,26,Achievement,8,96%,43,298,97%,320,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,86%,29,303,83%,353,Achievement,9,3%,30,290,4%,319,Achievement,9,10,0%,47,402,1%,543,Achievement,0,3.198,102,10,8,10,77,No Reduction,03/11/1994,DAVITA,07/24/2014
062519 LITTLETON DIALYSIS (DVA),062519,,,209 W COUNTY LINE RD,,LITTLETON,CO,80129,15,10,0%,31,0%,31,Achievement,9,97%,60,399,95%,435,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,10,81%,44,401,85%,442,Achievement,9,4%,47,357,3%,412,Achievement,9,10,0%,64,464,0%,619,Achievement,10,0,132,10,10,10,97,No Reduction,09/15/1993,DAVITA,11/15/2011
062520 PUEBLO DIALYSIS (FMC),062520,,,41 MONTEBELLO RD STE 200,,PUEBLO,CO,81001,15,10,0%,39,0%,36,Achievement,4,91%,73,535,94%,520,Achievement,6,84%,17,139,78%,102,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,10,77%,55,568,67%,549,Achievement,3,15%,58,536,18%,528,Achievement,6,8,1%,81,697,1%,767,Achievement,3,1.378,113,10,5,8,65,No Reduction,08/24/1984,FRESENIUS MEDICAL CARE,01/01/2014
062521 ARVADA DIALYSIS CENTER (DVA),062521,,,9950 W 80TH AVE STE 25,,ARVADA,CO,80005,15,10,0%,14,0%,14,Achievement,9,97%,33,202,92%,284,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,8,71%,25,224,88%,237,Achievement,6,9%,25,200,5%,226,Achievement,7,10,0%,36,239,0%,351,Achievement,0,3.034,75,10,8,10,76,No Reduction,11/22/1995,DAVITA,07/17/2014
062522 CANON CITY DIALYSIS (FMC),062522,,,2245 FREMONT DR,,CANON CITY,CO,81212,15,10,0%,17,0%,16,Achievement,0,83%,45,309,95%,283,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,0,4,61%,32,324,63%,293,Achievement,3,15%,33,302,18%,278,Achievement,3,8,1%,43,356,1%,404,Achievement,7,0.536,78,10,4,10,61,No Reduction,04/06/1999,FRESENIUS MEDICAL CARE,07/21/2014
062523 LOVELAND DIALYSIS (FMC),062523,,,2940 GINNALA DR,,LOVELAND,CO,80538,15,10,0%,30,0%,32,Achievement,2,86%,64,363,83%,435,Improvement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,2,5,64%,39,373,67%,438,Achievement,7,7%,44,333,12%,412,Achievement,6,5,3%,54,419,3%,504,Achievement,1,1.620,119,10,9,10,60,No Reduction,12/09/1996,FRESENIUS MEDICAL CARE,08/05/2014
062524 PRINTERS PLACE DIALYSIS CENTER (DVA),062524,,,2802  INTERNATIONAL CIR,,COLORADO SPRINGS,CO,80910,15,10,0%,14,0%,12,Achievement,7,94%,27,179,89%,155,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,0,46%,20,198,67%,143,Achievement,7,8%,22,170,5%,136,Achievement,4,6,2%,25,183,1%,168,Achievement,1,1.679,51,N/A,10,10,67,No Reduction,11/08/1996,DAVITA,07/17/2014
062525 LA JUNTA DIALYSIS (FMC),062525,,,1116 CARSON AVE,,LA JUNTA,CO,81050,15,10,0%,21,0%,26,Achievement,8,95%,39,325,96%,372,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,5,62%,30,321,62%,390,Achievement,3,15%,34,318,14%,373,Achievement,4,5,3%,36,301,5%,392,Achievement,6,0.711,50,10,8,10,74,No Reduction,09/02/1997,FRESENIUS MEDICAL CARE,06/06/2000
062526 WALSENBURG DIALYSIS (FMC),062526,,,23450 HIGHWAY 160,,WALSENBURG,CO,81089,15,N/A,Insufficient data,10,Insufficient data,9,N/A,10,98%,20,168,95%,161,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,77%,15,164,76%,165,Achievement,9,4%,17,161,4%,138,Achievement,9,1,5%,21,182,2%,182,Achievement,2,1.503,34,N/A,9,10,68,No Reduction,01/17/1997,FRESENIUS MEDICAL CARE,05/15/1998
062527 CENTRAL DENVER DIALYSIS (FMC),062527,,,765 S BROADWAY,,DENVER,CO,80209,15,10,0%,36,0%,55,Achievement,9,97%,79,633,94%,774,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,8,73%,58,625,77%,783,Achievement,7,8%,63,611,5%,750,Achievement,7,10,0%,81,692,1%,1012,Achievement,8,0.369,131,10,6,10,87,No Reduction,01/24/1997,RENAL CARE GROUP INC.,09/01/2006
062528 FOUR CORNERS DIALYSIS CLINIC CORTEZ (DVA),062528,,,610 E MAIN STE C,,CORTEZ,CO,81321,15,10,0%,48,2%,42,Achievement,8,96%,64,558,98%,543,Achievement,10,98%,13,127,93%,90,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,82%,53,594,78%,578,Achievement,9,4%,55,568,2%,562,Achievement,9,8,1%,74,678,0%,744,Achievement,8,0.361,97,10,10,10,90,No Reduction,04/29/1998,DAVITA,06/28/2000
062529 LOWRY DIALYSIS CENTER (DVA),062529,,,7465 E 1ST AVE STE A,,DENVER,CO,80230,15,10,0%,47,0%,41,Achievement,10,99%,68,525,98%,494,Achievement,10,98%,18,128,88%,144,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,81%,61,599,86%,572,Achievement,9,3%,66,526,3%,535,Achievement,9,10,0%,143,1129,0%,1351,Achievement,4,1.203,143,N/A,9,9,86,No Reduction,09/22/1998,DAVITA,06/28/2000
062530 MONTROSE DIALYSIS (DCI),062530,,,945 S 4TH ST,,MONTROSE,CO,81401,15,10,0%,24,0%,25,Achievement,8,96%,34,328,96%,312,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,78%,30,331,66%,342,Achievement,10,2%,31,323,7%,311,Achievement,10,10,0%,32,270,2%,330,Achievement,10,0,49,10,8,10,95,No Reduction,08/28/1998,"DIALYSIS CLINIC, INC.",07/21/2014
062531 ENGLEWOOD DIALYSIS (DVA),062531,,,3247 S LINCOLN ST,,ENGLEWOOD,CO,80110,15,10,0%,30,0%,28,Achievement,8,96%,47,374,93%,320,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,9,74%,36,379,68%,352,Achievement,9,3%,36,352,9%,332,Achievement,9,10,0%,59,444,0%,487,Achievement,8,0.271,85,10,10,10,92,No Reduction,03/05/1999,DAVITA,08/31/2000
062533 COMMERCE CITY DIALYSIS (DVA),062533,061117,,6320 HOLLY ST,,COMMERCE CITY,CO,80022,15,10,0%,23,0%,24,Achievement,8,96%,37,285,85%,272,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,82%,29,304,93%,277,Achievement,9,3%,30,232,3%,252,Achievement,9,5,3%,51,389,0%,404,Achievement,0,4.319,83,10,9,10,73,No Reduction,02/28/2000,DAVITA,11/03/2006
062534 LONGMONT DIALYSIS (DVA),062534,,,1715 IRON HORSE DR STE 170,,LONGMONT,CO,80501,15,10,0%,18,0%,17,Achievement,10,99%,34,201,97%,188,Achievement,N/A,Insufficient data,6,31,Insufficient data,27,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,88%,17,178,85%,182,Achievement,10,1%,18,167,0%,151,Achievement,10,5,3%,27,218,3%,263,Achievement,0,3.648,56,N/A,10,10,79,No Reduction,04/04/2000,DAVITA,01/02/2004
062535 LAKEWOOD CROSSING DIALYSIS (DVA),062535,,,1057 S WADSWORTH BLVD STE 100,,LAKEWOOD,CO,80226,15,10,0%,42,0%,45,Achievement,8,96%,68,497,97%,638,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,89%,54,558,90%,675,Achievement,9,3%,59,538,1%,601,Achievement,9,6,2%,95,797,2%,1066,Achievement,0,3.823,162,10,10,10,75,No Reduction,10/11/2000,DAVITA,11/10/2000
062536 LAMAR DIALYSIS (FMC),062536,,,108 WEST LEE AVE,,LAMAR,CO,81052,15,N/A,Insufficient data,10,0%,16,N/A,10,98%,24,235,98%,247,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,81%,21,237,71%,261,Achievement,8,6%,21,234,12%,250,Achievement,9,8,1%,25,222,0%,285,Achievement,6,0.681,30,N/A,9,10,86,No Reduction,07/17/2001,FRESENIUS MEDICAL CARE,07/18/2001
062537 PUEBLO SOUTH DIALYSIS (FMC),062537,,,3426 LAKE AVENUE STE 110,,PUEBLO,CO,81004,15,10,0%,51,0%,42,Achievement,8,95%,92,753,95%,694,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,7,68%,74,773,66%,717,Achievement,3,15%,77,727,14%,670,Achievement,5,10,0%,98,792,0%,917,Achievement,2,1.604,135,10,10,10,76,No Reduction,10/10/2001,FRESENIUS MEDICAL CARE,10/11/2001
062538 GRAND JUNCTION DIALYSIS (DCI),062538,,,2748 CROSSROADS BLVD,,GRAND JUNCTION,CO,81506,15,10,0%,24,5%,22,Achievement,9,97%,26,229,93%,240,Achievement,N/A,Insufficient data,9,60,Insufficient data,27,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,10,80%,23,239,59%,247,Achievement,6,9%,23,232,21%,214,Achievement,8,5,3%,35,256,2%,263,Achievement,10,0,46,10,5,10,86,No Reduction,01/18/2002,"DIALYSIS CLINIC, INC.",01/19/2002
062540 EAST AURORA DIALYSIS (DVA),062540,,,482 S CHAMBERS RD,,AURORA,CO,80017,15,10,0%,37,0%,39,Achievement,8,95%,72,542,96%,561,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,87%,53,537,86%,577,Achievement,10,2%,57,509,0%,545,Achievement,10,8,1%,95,757,0%,1033,Achievement,4,1.042,134,10,9,10,84,No Reduction,05/01/2002,DAVITA,02/10/2004
062541 MILE HIGH PD (DVA),062541,,,1750 PIERCE ST STE A,,LAKEWOOD,CO,80214,15,10,0%,12,Insufficient data,10,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,89%,33,232,89%,258,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,8,1%,37,281,0%,401,Achievement,N/A,Insufficient data,0,N/A,4,9,82,No Reduction,08/23/2002,DAVITA,08/22/2014
062542 BRIGHTON DIALYSIS (DVA),062542,,,4700 E BROMLEY LN STE 103,,BRIGHTON,CO,80601,15,10,0%,30,0%,20,Achievement,9,97%,46,353,97%,308,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,9,76%,37,375,75%,316,Achievement,6,9%,41,337,10%,294,Achievement,7,10,0%,64,483,0%,504,Achievement,0,4.088,94,10,10,10,77,No Reduction,05/27/2004,DAVITA,07/16/2014
062543 LONETREE DIALYSIS (DVA),062543,,,9777  PYRAMID CT STE 140,,ENGLEWOOD,CO,80112,15,10,0%,13,5%,19,Achievement,10,98%,24,182,92%,224,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,95%,21,230,82%,276,Achievement,10,0%,23,216,4%,264,Achievement,10,10,0%,34,266,0%,342,Achievement,0,3.274,52,10,9,10,83,No Reduction,11/17/2004,DAVITA,08/26/2005
062544 BELCARO DIALYSIS (DVA),062544,,,755 S COLORADO BLVD,,DENVER,CO,80246,15,10,0%,30,0%,29,Achievement,7,94%,49,367,93%,348,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,8,71%,36,369,66%,349,Achievement,8,5%,39,335,8%,333,Achievement,8,10,0%,55,474,0%,631,Achievement,0,3.731,87,10,9,10,75,No Reduction,11/19/2004,DAVITA,07/21/2014
062545 AURORA DIALYSIS (FMC),062545,,,962 POTOMAC CIR,,AURORA,CO,80011,15,10,0%,63,0%,73,Achievement,5,92%,116,841,84%,856,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,5,8,73%,90,891,77%,932,Achievement,5,11%,96,823,9%,861,Achievement,6,8,1%,118,904,1%,1117,Achievement,0,1.817,183,10,9,10,66,No Reduction,02/02/2005,RENAL CARE GROUP INC.,01/20/2005
062546 DENVER DIALYSIS (DVA),062546,,,2900 DOWNING ST STE C,,DENVER,CO,80205,15,10,0%,20,0%,24,Achievement,8,96%,41,278,95%,294,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,89%,26,274,89%,292,Achievement,10,0%,29,257,0%,265,Achievement,10,10,0%,75,613,0%,771,Achievement,0,2.623,126,10,9,10,80,No Reduction,04/27/2005,DAVITA,04/26/2005
062547 DURANGO DIALYSIS CENTER (DVA),062547,,,72 SUTTLE ST STE D,,DURANGO,CO,81301,15,10,0%,32,0%,25,Achievement,10,99%,54,325,96%,319,Achievement,10,99%,15,129,93%,89,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,86%,32,316,81%,345,Achievement,7,8%,35,301,4%,311,Achievement,8,8,1%,43,352,0%,456,Achievement,0,2.853,82,10,10,9,78,No Reduction,05/04/2005,DAVITA,05/05/2005
062548 STAPLETON DIALYSIS (FMC),062548,,,7606 E 36TH AVE,,DENVER,CO,80238,15,10,0%,29,0%,33,Achievement,4,86%,58,359,75%,338,Improvement,N/A,Insufficient data,0,0,Insufficient data,30,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,10,82%,38,380,78%,378,Achievement,8,6%,41,353,10%,331,Achievement,9,8,1%,51,410,2%,477,Achievement,0,2.734,100,10,9,10,70,No Reduction,09/14/2005,FRESENIUS MEDICAL CARE,01/02/2011
062550 ALAMOSA DIALYSIS (DVA),062550,,,612 DEL SOL DR,,ALAMOSA,CO,81101,15,10,0%,30,4%,27,Achievement,8,96%,55,424,97%,448,Achievement,10,96%,12,102,95%,105,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,8,73%,44,436,73%,455,Achievement,7,7%,49,403,4%,425,Achievement,7,8,1%,65,538,2%,627,Achievement,2,1.414,93,10,10,10,77,No Reduction,04/01/2005,DAVITA,01/23/2007
062552 FOUNTAIN DIALYSIS CENTER (DVA),062552,,,6910 BANDLEY DR STE 100,,FOUNTAIN,CO,80817,15,10,0%,23,0%,24,Achievement,6,93%,44,287,95%,337,Achievement,N/A,Insufficient data,2,13,Insufficient data,2,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,8,72%,34,314,70%,330,Achievement,8,5%,36,278,3%,305,Achievement,8,10,0%,39,303,0%,405,Achievement,7,0.464,95,10,8,10,84,No Reduction,09/27/2006,DAVITA,07/22/2014
062553 GRAND JUNCTION DIALYSIS CENTER (DVA),062553,,,710 WELLINGTON AVE STE 20,,GRAND JUNCTION,CO,81501,15,10,0%,47,0%,45,Achievement,9,97%,77,628,96%,597,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,10,81%,67,662,78%,610,Achievement,9,4%,67,601,6%,513,Achievement,10,10,0%,82,612,0%,669,Achievement,4,1.064,153,10,10,10,89,No Reduction,10/01/2006,DAVITA,10/02/2006
062554 KIDNEY CENTER OF ARVADA (ARA),062554,,,5265 VANCE ST,,ARVADA,CO,80002,15,10,0%,43,0%,50,Achievement,10,99%,62,553,98%,575,Achievement,9,94%,11,100,92%,128,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,77%,57,595,76%,594,Achievement,5,12%,61,558,13%,566,Achievement,7,10,0%,95,713,1%,774,Achievement,5,0.967,126,10,10,10,87,No Reduction,07/14/2008,AMERICAN RENAL ASSOCIATES,07/15/2008
062555 KIDNEY CENTER OF LAFAYETTE (ARA),062555,,,2655 CRESCENT DR STE C,,LAFAYETTE,CO,80026,15,10,0%,25,0%,16,Achievement,10,99%,40,321,97%,248,Achievement,N/A,Insufficient data,8,77,Insufficient data,54,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,85%,34,340,92%,238,Achievement,6,9%,36,293,6%,231,Achievement,8,8,1%,59,471,2%,490,Achievement,7,0.502,72,10,9,10,89,No Reduction,07/10/2008,AMERICAN RENAL ASSOCIATES,07/24/2014
062556 KIDNEY CENTER OF LAKEWOOD (ARA),062556,,,6166 W ALAMEDA AVE,,DENVER,CO,80226,15,10,0%,37,0%,40,Achievement,10,99%,65,520,97%,554,Achievement,N/A,Insufficient data,6,47,Insufficient data,38,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,80%,52,546,77%,596,Achievement,4,13%,61,536,10%,549,Achievement,7,6,2%,83,655,1%,780,Achievement,5,0.838,102,10,10,10,83,No Reduction,07/15/2008,AMERICAN RENAL ASSOCIATES,08/06/2014
062557 KIDNEY CENTER OF LONGMONT (ARA),062557,,,1960 KEN PRATT BLVD STE A,,LONGMONT,CO,80501,15,10,0%,44,0%,39,Achievement,10,98%,67,605,99%,608,Achievement,N/A,Insufficient data,6,35,Insufficient data,79,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,79%,61,646,75%,660,Achievement,3,16%,66,632,20%,599,Achievement,6,8,1%,88,688,2%,760,Achievement,2,1.523,114,10,10,10,79,No Reduction,07/08/2008,AMERICAN RENAL ASSOCIATES,07/10/2008
